date,city,state,country,shape,duration_seconds,duration,comment,report_date,latitude,longitude
2006-05-07 00:00:00,idaho falls,id,us,triangle,60.0,1 minute,A BIG TRIANGULAR  OBJECT,2006-10-30,43.4666667,-112.0333333
2005-11-27 02:30:00,manchester (uk/england),,gb,cross,1800.0,30 mins,star shaped object which changed shape over cast night 27 november 2005 west direction ?,2005-12-16,53.5,-2.216667
2010-05-12 22:14:00,hood river,or,us,light,40.0,40 sec,Bright white light acending.,2010-06-03,45.7055556,-121.5202778
2012-08-02 21:00:00,garland,tx,us,teardrop,5.0,4-5 seconds,Teardrop shape&#44 hazy aura&#44 like an LED light from my view about the size of a human fist.,2012-08-05,32.9125,-96.6386111
2006-08-28 12:12:00,mt. st. helens,wa,,unknown,1.0,split second,Something streaking across the sky at 7000 ft elevation while riding my mt bike.,2009-04-14,46.1912,-122.1944
2007-06-01 18:45:00,mandeville,la,us,cigar,5.0,5 seconds,cigar shape which I initially thought was a plane but didn&#39t have wings,2008-01-21,30.3580556,-90.0655556
2006-08-17 21:40:00,prvi luka (croatia),,,disk,6.0,6 seconds,Object appeared in the sky&#44 started moving slowly and then suddenly very fast and disappeared in Prviluka&#44 Croatia. 500 Ligh,2009-03-19,43.725258,15.797375
1968-08-20 18:30:00,elwood,nj,us,cigar,15.0,15 seconds,9/20/67 Elwood N.J. cigar/disc 15seconds object moved slowly at tree line and was reported by paper next day,2005-10-11,39.5763889,-74.7172222
2003-01-15 19:30:00,napa,ca,us,chevron,6.0,6 seconds,Dark chevron shape zooming across the night sky with no lights on it.,2003-09-28,38.2972222,-122.2844444
2000-01-02 20:00:00,oroville,ca,us,light,600.0,10+minutes,These lights(egg shape)put on a dazzling show they would go in a long oval circle probably a football field in length the egg shape lig,2000-01-07,39.5138889,-121.5552778
2003-08-03 03:00:00,tuscon,az,,chevron,300.0,5 minutes,Chevron craft - 2 bright white/blue lights,2012-05-13,32.221743,-110.926479
2008-09-16 19:30:00,lakewood,co,us,fireball,2.0,2 seconds,Green light  moving towards south at high speed.,2008-10-31,39.7047222,-105.0808333
2003-03-08 18:30:00,portsmouth,nh,us,fireball,6.0,6 seconds,a leaf green comet-like flying object at least 100 feet up 300 ft. max came shooting in the sky at speeds faster than an airplane.,2003-03-11,43.0716667,-70.7630556
1976-11-05 19:30:00,orchard lake,mi,us,rectangle,20.0,20 sec ?,rectangular  light dull white,2004-04-27,42.5830556,-83.3594444
